"Defined","Location","Label","Code Unit","String View","String Type","Length","Is Word"
"","0002a244","","ds \"premo_plugin_module\"","\"premo_plugin_module\"","string","20","true"
"","0002b820","s_premo_dialog_page_0002b820","ds \"premo_dialog_page\"","\"premo_dialog_page\"","string","18","true"
"","0002b838","s_premo_brightness_page_0002b838","ds \"premo_brightness_page\"","\"premo_brightness_page\"","string","22","true"
"","0002b870","s_premo_page_0002b870","ds \"premo_page\"","\"premo_page\"","string","11","true"
"","0002b880","s_premoPlane_0002b880","ds \"premoPlane\"","\"premoPlane\"","string","11","true"
"","0002b8d8","s_premo_plugin_0002b8d8","ds \"premo_plugin\"","\"premo_plugin\"","string","13","true"
"","0002b940","s_OnPremoPageInit_0002b940","ds \"OnPremoPageInit\"","\"OnPremoPageInit\"","string","16","true"
"","0002b950","","ds \"OnPremoDialogPageInit\"","\"OnPremoDialogPageInit\"","string","22","true"
"","0002b968","","ds \"OnPremoBrightnessPageInit\"","\"OnPremoBrightnessPageInit\"","string","26","true"
"","0002b988","","ds \"OnPremoInfobarInit\"","\"OnPremoInfobarInit\"","string","19","true"
"","0002b9a0","","ds \"OnPremoInfobarFakeInit\"","\"OnPremoInfobarFakeInit\"","string","23","true"
"","0002b9b8","","ds \"OnPremoBtnnaviInit\"","\"OnPremoBtnnaviInit\"","string","19","true"
"","0002b9d0","","ds \"OnPremoBtnnaviFakeInit\"","\"OnPremoBtnnaviFakeInit\"","string","23","true"
"","0002b9e8","s_premo_copy_thread_0002b9e8","ds \"premo_copy_thread\"","\"premo_copy_thread\"","string","18","true"
"","0002ba40","s_premoplane_0002ba40","ds \"premoplane\"","\"premoplane\"","string","11","true"
"","0002ba50","s_premo_plugin_0002ba50","ds \"premo_plugin\"","\"premo_plugin\"","string","13","true"
"","0002ba78","s_premo_dialog_page_0002ba78","ds \"premo_dialog_page\"","\"premo_dialog_page\"","string","18","true"
"","0002bd48","s_premo_page_infobar_fake16_9_0002bd48","ds \"premo_page_infobar_fake16_9\"","\"premo_page_infobar_fake16_9\"","string","28","true"
"","0002bd80","s_premo_page_infobar_0002bd80","ds \"premo_page_infobar\"","\"premo_page_infobar\"","string","19","true"
"","0002bda0","s_tex_premo_bar_0002bda0","ds \"tex_premo_bar\"","\"tex_premo_bar\"","string","14","true"
"","0002bdb0","s_tex_premo_bar_shadow_0002bdb0","ds \"tex_premo_bar_shadow\"","\"tex_premo_bar_shadow\"","string","21","true"
"","0002bdc8","s_premo_page_btnnavi_fake16_9_0002bdc8","ds \"premo_page_btnnavi_fake16_9\"","\"premo_page_btnnavi_fake16_9\"","string","28","true"
"","0002bde8","s_premo_page_btnnavi_0002bde8","ds \"premo_page_btnnavi\"","\"premo_page_btnnavi\"","string","19","true"
"","0002c0d0","s_cellPremoStartSkimAudio_0002c0d0","ds \"cellPremoStartSkimAudio\"","\"cellPremoStartSkimAudio\"","string","24","true"
"","0002c0f0","s_CellPremoSpurs_0002c0f0","ds \"CellPremoSpurs\"","\"CellPremoSpurs\"","string","15","true"
"","0002c100","s_cellPremoControlThread_0002c100","ds \"cellPremoControlThread\"","\"cellPremoControlThread\"","string","23","true"
"","0002c1b0","s_cellPremoMpeg4EncThread_0002c1b0","ds \"cellPremoMpeg4EncThread\"","\"cellPremoMpeg4EncThread\"","string","24","true"
"","0002c1c8","s_cellPremoAvcEncThread_0002c1c8","ds \"cellPremoAvcEncThread\"","\"cellPremoAvcEncThread\"","string","22","true"
"","0002c1e0","s_cellPremoM4hdEncThread_0002c1e0","ds \"cellPremoM4hdEncThread\"","\"cellPremoM4hdEncThread\"","string","23","true"
"","0002c258","s_cellPremoAEncThread_0002c258","ds \"cellPremoAEncThread\"","\"cellPremoAEncThread\"","string","20","true"
"","0002c290","s__cellPremoGroupHeap2_0002c290","ds \"_cellPremoGroupHeap2\"","\"_cellPremoGroupHeap2\"","string","21","true"
"","0002c2a8","s__cellPremoGroupHeap_0002c2a8","ds \"_cellPremoGroupHeap\"","\"_cellPremoGroupHeap\"","string","20","true"
"","0002c2d0","s_cellPremoISessionThread_0002c2d0","ds \"cellPremoISessionThread\"","\"cellPremoISessionThread\"","string","24","true"
"","0002c6e8","s_cellPremoVSessionThread_0002c6e8","ds \"cellPremoVSessionThread\"","\"cellPremoVSessionThread\"","string","24","true"
"","0002c758","s_cellPremoASessionThread_0002c758","ds \"cellPremoASessionThread\"","\"cellPremoASessionThread\"","string","24","true"
"","0002c780","s_cellPremoPadSessionThread_0002c780","ds \"cellPremoPadSessionThread\"","\"cellPremoPadSessionThread\"","string","26","true"
"","0002c7c0","s_PREMO-Pad-Index_0002c7c0","ds \"PREMO-Pad-Index\"","\"PREMO-Pad-Index\"","string","16","true"
"","0002c7d8","s_cellPremoCtrlSessionThread_0002c7d8","ds \"cellPremoCtrlSessionThread\"","\"cellPremoCtrlSessionThread\"","string","27","true"
"","0002c808","s_cellPremoHttpdThread_0002c808","ds \"cellPremoHttpdThread\"","\"cellPremoHttpdThread\"","string","21","true"
"","0002c828","s_cellPremoAcceptThread_0002c828","ds \"cellPremoAcceptThread\"","\"cellPremoAcceptThread\"","string","22","true"
"","0002c8b8","s_PREMO-Auth_0002c8b8","ds \"PREMO-Auth\"","\"PREMO-Auth\"","string","11","true"
"","0002c8c8","s_PREMO-Video-Port_0002c8c8","ds \"PREMO-Video-Port\"","\"PREMO-Video-Port\"","string","17","true"
"","0002c8e0","s_PREMO-Audio-Port_0002c8e0","ds \"PREMO-Audio-Port\"","\"PREMO-Audio-Port\"","string","17","true"
"","0002c8f8","s_GET_/sce/premo/session_HTTP/1.1_0002c8f8","ds \"GET /sce/premo/session HTTP/1.1\n\"","\"GET /sce/premo/session HTTP/1.1\n\"","string","33","true"
"","0002c920","s_GET_/sce/premo/session_HTTP/1.0_0002c920","ds \"GET /sce/premo/session HTTP/1.0\n\"","\"GET /sce/premo/session HTTP/1.0\n\"","string","33","true"
"","0002c948","s_PREMO-PSPID_0002c948","ds \"PREMO-PSPID\"","\"PREMO-PSPID\"","string","12","true"
"","0002c958","s_PREMO-Version_0002c958","ds \"PREMO-Version\"","\"PREMO-Version\"","string","14","true"
"","0002c968","s_PREMO-Mode_0002c968","ds \"PREMO-Mode\"","\"PREMO-Mode\"","string","11","true"
"","0002c978","s_PREMO_0002c978","ds \"PREMO\"","\"PREMO\"","string","6","true"
"","0002c988","s_PREMO-Platform-Info_0002c988","ds \"PREMO-Platform-Info\"","\"PREMO-Platform-Info\"","string","20","true"
"","0002c9c0","s_PREMO-UserName_0002c9c0","ds \"PREMO-UserName\"","\"PREMO-UserName\"","string","15","true"
"","0002c9d0","s_PREMO-Trans_0002c9d0","ds \"PREMO-Trans\"","\"PREMO-Trans\"","string","12","true"
"","0002c9e8","s_PREMO-SIGNIN-ID_0002c9e8","ds \"PREMO-SIGNIN-ID\"","\"PREMO-SIGNIN-ID\"","string","16","true"
"","0002c9f8","s_PREMO-Video-Codec-Ability_0002c9f8","ds \"PREMO-Video-Codec-Ability\"","\"PREMO-Video-Codec-Ability\"","string","26","true"
"","0002ca48","s_PREMO-Video-Resolution_0002ca48","ds \"PREMO-Video-Resolution\"","\"PREMO-Video-Resolution\"","string","23","true"
"","0002ca60","s_PREMO-Video-Resolution-Ability_0002ca60","ds \"PREMO-Video-Resolution-Ability\"","\"PREMO-Video-Resolution-Ability\"","string","31","true"
"","0002ca80","s_PREMO-Video-Bitrate_0002ca80","ds \"PREMO-Video-Bitrate\"","\"PREMO-Video-Bitrate\"","string","20","true"
"","0002ca98","s_PREMO-Video-Framerate_0002ca98","ds \"PREMO-Video-Framerate\"","\"PREMO-Video-Framerate\"","string","22","true"
"","0002cab0","s_PREMO-Video-LetterBox_0002cab0","ds \"PREMO-Video-LetterBox\"","\"PREMO-Video-LetterBox\"","string","22","true"
"","0002cac8","s_PREMO-Audio-Codec-Ability_0002cac8","ds \"PREMO-Audio-Codec-Ability\"","\"PREMO-Audio-Codec-Ability\"","string","26","true"
"","0002caf8","s_PREMO-Audio-Bitrate_0002caf8","ds \"PREMO-Audio-Bitrate\"","\"PREMO-Audio-Bitrate\"","string","20","true"
"","0002cb10","s_PREMO-RTP-Size_0002cb10","ds \"PREMO-RTP-Size\"","\"PREMO-RTP-Size\"","string","15","true"
"","0002cb20","s_PREMO-VideoOut-Ctrl_0002cb20","ds \"PREMO-VideoOut-Ctrl\"","\"PREMO-VideoOut-Ctrl\"","string","20","true"
"","0002cb38","s_PREMO-Touch-Ability_0002cb38","ds \"PREMO-Touch-Ability\"","\"PREMO-Touch-Ability\"","string","20","true"
"","0002cb78","s_GET_/sce/premo/session/video_HTT_0002cb78","ds \"GET /sce/premo/session/video HTTP/1.1\n\"","\"GET /sce/premo/session/video HTTP/1.1\n\"","string","39","true"
"","0002cba0","s_GET_/sce/premo/session/video_HTT_0002cba0","ds \"GET /sce/premo/session/video HTTP/1.0\n\"","\"GET /sce/premo/session/video HTTP/1.0\n\"","string","39","true"
"","0002cbc8","s_GET_/sce/premo/session/audio_HTT_0002cbc8","ds \"GET /sce/premo/session/audio HTTP/1.1\n\"","\"GET /sce/premo/session/audio HTTP/1.1\n\"","string","39","true"
"","0002cbf0","s_GET_/sce/premo/session/audio_HTT_0002cbf0","ds \"GET /sce/premo/session/audio HTTP/1.0\n\"","\"GET /sce/premo/session/audio HTTP/1.0\n\"","string","39","true"
"","0002cc18","s_POST_/sce/premo/session/pad_HTTP_0002cc18","ds \"POST /sce/premo/session/pad HTTP/1.1\n\"","\"POST /sce/premo/session/pad HTTP/1.1\n\"","string","38","true"
"","0002cc40","s_POST_/sce/premo/session/pad_HTTP_0002cc40","ds \"POST /sce/premo/session/pad HTTP/1.0\n\"","\"POST /sce/premo/session/pad HTTP/1.0\n\"","string","38","true"
"","0002cc78","s_PREMO-Pad-Index_0002cc78","ds \"PREMO-Pad-Index\"","\"PREMO-Pad-Index\"","string","16","true"
"","0002cca8","s_GET_/sce/premo/session/ctrl_HTTP_0002cca8","ds \"GET /sce/premo/session/ctrl HTTP/1.1\n\"","\"GET /sce/premo/session/ctrl HTTP/1.1\n\"","string","38","true"
"","0002ccd0","s_GET_/sce/premo/session/ctrl_HTTP_0002ccd0","ds \"GET /sce/premo/session/ctrl HTTP/1.0\n\"","\"GET /sce/premo/session/ctrl HTTP/1.0\n\"","string","38","true"
"","0002cd80","s__cellPremoMyHeap_0002cd80","ds \"_cellPremoMyHeap\"","\"_cellPremoMyHeap\"","string","17","true"
"","0002cef0","s_PREMO-Application-Reason:_0002cef0","ds \"PREMO-Application-Reason: \"","\"PREMO-Application-Reason: \"","string","27","true"
"","0002cf10","s_PREMO-Version:_0002cf10","ds \"PREMO-Version: \"","\"PREMO-Version: \"","string","16","true"
"","0002cf20","s_PREMO-Video-Codec:_AVC_0002cf20","ds \"PREMO-Video-Codec: AVC\r\n\"","\"PREMO-Video-Codec: AVC\r\n\"","string","25","true"
"","0002cf40","","ds \"PREMO-Video-Codec: AVC/CAVLC\r\n\"","\"PREMO-Video-Codec: AVC/CAVLC\r\n\"","string","31","true"
"","0002cf60","","ds \"PREMO-Video-Codec: M4HD\r\n\"","\"PREMO-Video-Codec: M4HD\r\n\"","string","26","true"
"","0002cf80","","ds \"PREMO-Video-Codec: M4V\r\n\"","\"PREMO-Video-Codec: M4V\r\n\"","string","25","true"
"","0002d010","s_PREMO-Version:_0002d010","ds \"PREMO-Version: \"","\"PREMO-Version: \"","string","16","true"
"","0002d020","s_PREMO-Video-Resolution:_0002d020","ds \"PREMO-Video-Resolution: \"","\"PREMO-Video-Resolution: \"","string","25","true"
"","0002d040","s_PREMO-Video-Resolution-Ability:_3_0002d040","ds \"PREMO-Video-Resolution-Ability: 320x240\,432x240\,480x272\r\n\"","\"PREMO-Video-Resolution-Ability: 320x240\,432x240\,480x272\r\n\"","string","58","true"
"","0002d080","s_PREMO-Video-Bitrate:_0002d080","ds \"PREMO-Video-Bitrate: \"","\"PREMO-Video-Bitrate: \"","string","22","true"
"","0002d098","s_PREMO-Video-Bitrate-Ability:_0002d098","ds \"PREMO-Video-Bitrate-Ability: \"","\"PREMO-Video-Bitrate-Ability: \"","string","30","true"
"","0002d0b8","s_PREMO-Video-ClockFrequency:_9000_0002d0b8","ds \"PREMO-Video-ClockFrequency: 90000\r\n\"","\"PREMO-Video-ClockFrequency: 90000\r\n\"","string","36","true"
"","0002d0e0","s_PREMO-Video-Framerate:_0002d0e0","ds \"PREMO-Video-Framerate:\"","\"PREMO-Video-Framerate:\"","string","23","true"
"","0002d0f8","s_PREMO-Video-Framerate-Ability:_7_0002d0f8","ds \"PREMO-Video-Framerate-Ability: 7.5\,10\,15\,30\r\n\"","\"PREMO-Video-Framerate-Ability: 7.5\,10\,15\,30\r\n\"","string","46","true"
"","0002d128","s_PREMO-Video-Config:_0002d128","ds \"PREMO-Video-Config: \"","\"PREMO-Video-Config: \"","string","21","true"
"","0002d140","s_PREMO-Power-Control:_on_0002d140","ds \"PREMO-Power-Control: on\r\n\"","\"PREMO-Power-Control: on\r\n\"","string","26","true"
"","0002d160","s_PREMO-AVRCP:_capable_0002d160","ds \"PREMO-AVRCP: capable\r\n\"","\"PREMO-AVRCP: capable\r\n\"","string","23","true"
"","0002d178","s_PREMO-PS3-Nickname:_0002d178","ds \"PREMO-PS3-Nickname: \"","\"PREMO-PS3-Nickname: \"","string","21","true"
"","0002d190","s_PREMO-Exec-Mode:_0002d190","ds \"PREMO-Exec-Mode: \"","\"PREMO-Exec-Mode: \"","string","18","true"
"","0002d1a8","s_PREMO-Touch:_0002d1a8","ds \"PREMO-Touch: \"","\"PREMO-Touch: \"","string","14","true"
"","0002d1b8","s_PREMO-Audio-SamplingRate:_48000_0002d1b8","ds \"PREMO-Audio-SamplingRate: 48000\r\n\"","\"PREMO-Audio-SamplingRate: 48000\r\n\"","string","34","true"
"","0002d1e0","s_PREMO-Audio-Channels:_2_0002d1e0","ds \"PREMO-Audio-Channels: 2\r\n\"","\"PREMO-Audio-Channels: 2\r\n\"","string","26","true"
"","0002d200","s_PREMO-Audio-Bitrate:_0002d200","ds \"PREMO-Audio-Bitrate: \"","\"PREMO-Audio-Bitrate: \"","string","22","true"
"","0002d218","s_PREMO-Audio-Bitrate-Ability:_0002d218","ds \"PREMO-Audio-Bitrate-Ability: \"","\"PREMO-Audio-Bitrate-Ability: \"","string","30","true"
"","0002d238","s_PREMO-Audio-ClockFrequency:_9000_0002d238","ds \"PREMO-Audio-ClockFrequency: 90000\r\n\"","\"PREMO-Audio-ClockFrequency: 90000\r\n\"","string","36","true"
"","0002d260","s_PREMO-Audio-Config:_400023203FC0_0002d260","ds \"PREMO-Audio-Config: 400023203FC0\r\n\"","\"PREMO-Audio-Config: 400023203FC0\r\n\"","string","35","true"
"","0002d288","s_PREMO-Pad-Complete:_on_0002d288","ds \"PREMO-Pad-Complete: on\r\n\"","\"PREMO-Pad-Complete: on\r\n\"","string","25","true"
"","0002d2a8","s_PREMO-Pad-Complete:_off_0002d2a8","ds \"PREMO-Pad-Complete: off\r\n\"","\"PREMO-Pad-Complete: off\r\n\"","string","26","true"
"","0002d2c8","s_PREMO-Pad-Assign:_CIRCLE_0002d2c8","ds \"PREMO-Pad-Assign: CIRCLE\r\n\"","\"PREMO-Pad-Assign: CIRCLE\r\n\"","string","27","true"
"","0002d2e8","s_PREMO-Pad-Assign:_CROSS_0002d2e8","ds \"PREMO-Pad-Assign: CROSS\r\n\"","\"PREMO-Pad-Assign: CROSS\r\n\"","string","26","true"
"","0002d308","s_PREMO-Trans-Mode:_0002d308","ds \"PREMO-Trans-Mode: \"","\"PREMO-Trans-Mode: \"","string","19","true"
"","0002d320","s_PREMO-Nonce:_0002d320","ds \"PREMO-Nonce: \"","\"PREMO-Nonce: \"","string","14","true"
"","0002d330","s_PREMO-OTA:_capable_0002d330","ds \"PREMO-OTA: capable\r\n\"","\"PREMO-OTA: capable\r\n\"","string","21","true"
"","0002d348","s_PREMO-Audio-Codec:_M4A_0002d348","ds \"PREMO-Audio-Codec: M4A\r\n\"","\"PREMO-Audio-Codec: M4A\r\n\"","string","25","true"
"","0002d368","","ds \"PREMO-Audio-Codec: AT3\r\n\"","\"PREMO-Audio-Codec: AT3\r\n\"","string","25","true"
"","0002d388","s_PREMO-Application-Reason:_0002d388","ds \"PREMO-Application-Reason: \"","\"PREMO-Application-Reason: \"","string","27","true"
